time,value,mets,level
05:33:35,76,,
05:33:50,75,,
05:34:05,75,,
05:34:10,76,,
05:34:25,76,,
05:34:40,76,,
05:34:50,77,,
05:35:00,76,,
05:35:15,76,,
05:35:30,76,,
05:35:45,76,,
05:35:50,77,,
05:36:05,77,,
05:36:20,77,,
05:36:30,76,,
05:36:45,76,,
05:37:00,76,,
05:37:05,77,,
05:37:10,78,,
05:37:15,78,,
05:37:30,80,,
05:37:40,84,,
05:37:50,74,,
05:38:00,75,,
05:38:15,75,,
05:38:20,63,,
05:38:35,63,,
05:38:40,62,,
05:38:50,64,,
05:39:00,63,,
05:39:10,62,,
05:39:20,61,,
05:39:30,62,,
05:39:45,62,,
05:39:50,62,,
05:40:00,65,,
05:40:10,64,,
05:40:25,64,,
05:40:30,66,,
05:40:40,65,,
05:40:55,65,,
05:41:10,65,,
05:41:20,65,,
05:41:35,65,,
05:41:40,66,,
05:41:50,65,,
05:42:05,65,,
05:42:20,67,,
05:42:35,67,,
05:42:40,68,,
05:42:55,68,,
05:43:10,68,,
05:43:20,66,,
05:43:30,67,,
05:43:40,69,,
05:43:50,69,,
05:44:00,68,,
05:44:10,69,,
05:44:20,70,,
05:44:30,69,,
05:44:40,71,,
05:44:50,69,,
05:45:00,71,,
05:45:15,71,,
05:45:20,69,,
05:45:30,70,,
05:45:40,71,,
05:45:50,70,,
05:46:00,71,,
05:46:10,72,,
05:46:25,72,,
05:46:30,70,,
05:46:40,71,,
05:46:55,71,,
05:47:00,72,,
05:47:10,73,,
05:47:25,73,,
05:47:30,65,,
05:47:40,67,,
05:47:50,69,,
05:48:00,64,,
05:48:10,63,,
05:48:20,67,,
05:48:35,67,,
05:48:40,66,,
05:48:50,67,,
05:49:00,66,,
05:49:15,66,,
05:49:20,67,,
05:49:30,66,,
05:49:40,67,,
05:49:50,64,,
05:50:00,67,,
05:50:10,69,,
05:50:20,67,,
05:50:30,68,,
05:50:35,68,,
05:50:50,68,,
05:51:00,66,,
05:51:10,60,,
05:51:20,61,,
05:51:30,64,,
05:51:40,65,,
05:51:50,65,,
05:52:00,66,,
05:52:10,68,,
05:52:20,67,,
05:52:30,66,,
05:52:40,69,,
05:52:50,71,,
05:53:00,70,,
05:53:10,68,,
05:53:20,69,,
05:53:30,70,,
05:53:40,70,,
05:53:50,69,,
05:54:05,69,,
05:54:20,70,,
05:54:30,71,,
05:54:40,70,,
05:54:50,66,,
05:55:00,69,,
05:55:15,69,,
05:55:20,71,,
05:55:35,71,,
05:55:40,70,,
05:55:50,68,,
05:56:00,67,,
05:56:10,69,,
05:56:20,70,,
05:56:30,72,,
05:56:45,72,,
05:56:50,71,,
05:57:00,73,,
05:57:10,73,,
05:57:20,72,,
05:57:30,73,,
05:57:40,71,,
05:57:50,66,,
05:58:00,67,,
05:58:10,69,,
05:58:20,69,,
05:58:30,70,,
05:58:40,68,,
05:58:50,69,,
05:59:00,70,,
05:59:15,70,,
05:59:20,72,,
05:59:30,68,,
05:59:40,69,,
05:59:50,69,,
06:00:00,70,,
06:00:15,70,,
06:00:20,71,,
06:00:35,71,,
06:00:50,71,,
06:01:00,72,,
06:01:10,71,,
06:01:20,73,,
06:01:30,72,,
06:01:40,67,,
06:01:50,68,,
06:02:00,70,,
06:02:10,69,,
06:02:20,67,,
06:02:30,71,,
06:02:40,70,,
06:02:50,72,,
06:03:00,74,,
06:03:15,74,,
06:03:20,70,,
06:03:30,66,,
06:03:40,59,,
06:03:50,62,,
06:04:00,64,,
06:04:10,69,,
06:04:20,73,,
06:04:30,74,,
06:04:40,75,,
06:04:50,79,,
06:05:00,79,,
06:05:15,79,,
06:05:20,78,,
06:05:25,77,,
06:05:40,86,,
06:05:50,72,,
06:06:05,72,,
06:06:10,71,,
06:06:20,66,,
06:06:30,69,,
06:06:40,72,,
06:06:50,70,,
06:07:00,71,,
06:07:10,73,,
06:07:20,74,,
06:07:30,73,,
06:07:40,70,,
06:07:50,71,,
06:08:00,73,,
06:08:10,74,,
06:08:25,74,,
06:08:30,75,,
06:08:40,73,,
06:08:50,71,,
06:09:00,70,,
06:09:10,65,,
06:09:20,64,,
06:09:30,62,,
06:09:40,61,,
06:09:50,64,,
06:10:00,65,,
06:10:10,67,,
06:10:20,67,,
06:10:35,67,,
06:10:40,66,,
06:10:50,67,,
06:11:00,66,,
06:11:10,63,,
06:11:20,64,,
06:11:30,66,,
06:11:40,64,,
06:11:50,63,,
06:12:00,64,,
06:12:10,61,,
06:12:20,65,,
06:12:30,64,,
06:12:40,64,,
06:12:50,70,,
06:13:00,68,,
06:13:10,65,,
06:13:25,65,,
06:13:30,66,,
06:13:40,67,,
06:13:50,68,,
06:14:05,68,,
06:14:10,66,,
06:14:20,65,,
06:14:30,63,,
06:14:40,62,,
06:14:50,63,,
06:15:05,63,,
06:15:10,64,,
06:15:20,64,,
06:15:30,63,,
06:15:40,62,,
06:15:50,63,,
06:16:00,65,,
06:16:10,64,,
06:16:20,65,,
06:16:30,64,,
06:16:45,64,,
06:17:00,64,,
06:17:10,64,,
06:17:20,62,,
06:17:30,64,,
06:17:45,64,,
06:17:50,65,,
06:18:05,65,,
06:18:10,64,,
06:18:20,63,,
06:18:35,63,,
06:18:50,63,,
06:19:00,64,,
06:19:10,63,,
06:19:25,63,,
06:19:40,63,,
06:19:55,63,,
06:20:00,64,,
06:20:10,65,,
06:20:25,65,,
06:20:30,66,,
06:20:45,66,,
06:21:00,65,,
06:21:10,66,,
06:21:25,66,,
06:21:30,67,,
06:21:40,66,,
06:21:50,65,,
06:22:00,66,,
06:22:10,67,,
06:22:25,67,,
06:22:40,67,,
06:22:50,66,,
06:23:00,67,,
06:23:10,66,,
06:23:20,67,,
06:23:30,66,,
06:23:45,66,,
06:23:50,65,,
06:24:00,66,,
06:24:10,65,,
06:24:20,63,,
06:24:30,62,,
06:24:45,62,,
06:24:50,63,,
06:25:00,63,,
06:25:10,61,,
06:25:20,62,,
06:25:30,61,,
06:25:40,62,,
06:25:50,63,,
06:26:05,63,,
06:26:10,64,,
06:26:20,65,,
06:26:30,66,,
06:26:40,65,,
06:26:55,65,,
06:27:00,64,,
06:27:10,65,,
06:27:25,65,,
06:27:30,65,,
06:27:40,64,,
06:27:55,64,,
06:28:10,65,,
06:28:20,66,,
06:28:35,66,,
06:28:50,66,,
06:29:05,66,,
06:29:10,65,,
06:29:25,65,,
06:29:30,66,,
06:29:45,66,,
06:29:50,67,,
06:30:00,66,,
06:30:15,66,,
06:30:20,67,,
06:30:35,67,,
06:30:40,66,,
06:30:55,66,,
06:31:10,66,,
06:31:25,66,,
06:31:40,67,,
06:31:55,67,,
06:32:10,66,,
06:32:20,65,,
06:32:30,66,,
06:32:45,66,,
06:32:50,65,,
06:33:00,66,,
06:33:10,67,,
06:33:20,66,,
06:33:30,67,,
06:33:40,68,,
06:33:50,67,,
06:34:00,66,,
06:34:15,66,,
06:34:20,67,,
06:34:30,67,,
06:34:45,67,,
06:34:50,66,,
06:35:05,66,,
06:35:10,67,,
06:35:20,66,,
06:35:30,67,,
06:35:40,65,,
06:35:50,66,,
06:36:00,65,,
06:36:15,65,,
06:36:30,66,,
06:36:45,66,,
06:37:00,66,,
06:37:10,64,,
06:37:25,64,,
06:37:40,64,,
06:37:50,66,,
06:38:00,65,,
06:38:15,65,,
06:38:30,65,,
06:38:40,64,,
06:38:55,64,,
06:39:10,64,,
06:39:20,65,,
06:39:30,66,,
06:39:45,66,,
06:40:00,63,,
06:40:10,64,,
06:40:20,65,,
06:40:30,66,,
06:40:40,65,,
06:40:50,66,,
06:41:05,66,,
06:41:10,67,,
06:41:20,66,,
06:41:35,66,,
06:41:50,65,,
06:42:05,65,,
06:42:20,65,,
06:42:35,65,,
06:42:50,65,,
06:43:00,64,,
06:43:05,66,,
06:43:10,75,,
06:43:20,72,,
06:43:30,68,,
06:43:45,68,,
06:43:50,70,,
06:44:00,69,,
06:44:10,70,,
06:44:20,67,,
06:44:30,66,,
06:44:40,67,,
06:44:50,69,,
06:45:00,72,,
06:45:10,68,,
06:45:20,66,,
06:45:35,66,,
06:45:50,65,,
06:46:00,66,,
06:46:10,65,,
06:46:25,65,,
06:46:40,66,,
06:46:50,67,,
06:47:05,67,,
06:47:10,66,,
06:47:20,67,,
06:47:30,67,,
06:47:40,68,,
06:47:55,68,,
06:48:00,68,,
06:48:10,69,,
06:48:20,68,,
06:48:30,69,,
06:48:40,69,,
06:48:50,70,,
06:49:00,69,,
06:49:15,69,,
06:49:20,70,,
06:49:30,69,,
06:49:45,69,,
06:49:50,68,,
06:50:00,69,,
06:50:15,69,,
06:50:20,70,,
06:50:35,70,,
06:50:50,70,,
06:51:05,70,,
06:51:10,69,,
06:51:20,68,,
06:51:30,70,,
06:51:40,71,,
06:51:50,71,,
06:52:00,71,,
06:52:10,70,,
06:52:20,69,,
06:52:30,69,,
06:52:40,70,,
06:52:55,70,,
06:53:00,69,,
06:53:10,70,,
06:53:25,70,,
06:53:30,71,,
06:53:40,70,,
06:53:55,70,,
06:54:10,70,,
06:54:20,69,,
06:54:30,69,,
06:54:45,69,,
06:54:50,70,,
06:55:05,70,,
06:55:20,71,,
06:55:25,72,,
06:55:30,73,,
06:55:40,74,,
06:55:45,76,,
06:55:50,77,,
06:56:00,65,,
06:56:10,60,,
06:56:20,62,,
06:56:35,62,,
06:56:40,64,,
06:56:50,62,,
